"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","420","Success","Trustcrow","Fri Nov 08 00:20:55 GMT 2024","passed","Fri Nov 08 00:20:55 GMT 2024","","Login","",""
"","163","Wrong email","Trustcrow","Fri Nov 08 00:20:55 GMT 2024","failed","Fri Nov 08 00:20:55 GMT 2024","","Login","",""
"","175","Invalid Auth","Trustcrow","Fri Nov 08 00:20:56 GMT 2024","passed","Fri Nov 08 00:20:57 GMT 2024","","Create Invoice","",""
"","151","No Auth","Trustcrow","Fri Nov 08 00:20:57 GMT 2024","passed","Fri Nov 08 00:20:58 GMT 2024","","Retrieve Single Invoice","",""
"","133","No Auth","Trustcrow","Fri Nov 08 00:20:56 GMT 2024","passed","Fri Nov 08 00:20:56 GMT 2024","","Create Invoice","",""
"","193","Success","Trustcrow","Fri Nov 08 00:20:57 GMT 2024","passed","Fri Nov 08 00:20:57 GMT 2024","","Retrieve All Invoices","",""
"","137","Empty password","Trustcrow","Fri Nov 08 00:20:55 GMT 2024","passed","Fri Nov 08 00:20:55 GMT 2024","","Login","",""
"","184","Success","Trustcrow","Fri Nov 08 00:20:56 GMT 2024","failed","Fri Nov 08 00:20:56 GMT 2024","","Create Invoice","",""
"","124","No Auth","Trustcrow","Fri Nov 08 00:20:57 GMT 2024","passed","Fri Nov 08 00:20:57 GMT 2024","","Retrieve All Invoices","",""
"","138","Invalid Auth","Trustcrow","Fri Nov 08 00:20:57 GMT 2024","passed","Fri Nov 08 00:20:57 GMT 2024","","Retrieve Single Invoice","",""
"","147","Invalid userId","Trustcrow","Fri Nov 08 00:20:57 GMT 2024","failed","Fri Nov 08 00:20:57 GMT 2024","","Create Invoice","",""
"","716","Success","Trustcrow","Fri Nov 08 00:20:53 GMT 2024","passed","Fri Nov 08 00:20:54 GMT 2024","","Register","",""
"","149","Invalid Endpoint","Trustcrow","Fri Nov 08 00:20:54 GMT 2024","passed","Fri Nov 08 00:20:54 GMT 2024","","Register","",""
"","149","Existing email","Trustcrow","Fri Nov 08 00:20:54 GMT 2024","passed","Fri Nov 08 00:20:54 GMT 2024","","Register","",""
"","144","Empty email","Trustcrow","Fri Nov 08 00:20:55 GMT 2024","passed","Fri Nov 08 00:20:55 GMT 2024","","Login","",""
"","138","Empty Email","Trustcrow","Fri Nov 08 00:20:54 GMT 2024","passed","Fri Nov 08 00:20:54 GMT 2024","","Register","",""
"","124","Invalid Auth","Trustcrow","Fri Nov 08 00:20:57 GMT 2024","passed","Fri Nov 08 00:20:57 GMT 2024","","Retrieve All Invoices","",""
"","144","Invalid endpoint","Trustcrow","Fri Nov 08 00:20:58 GMT 2024","failed","Fri Nov 08 00:20:58 GMT 2024","","Invalid Endpoint","",""
"","163","Success","Trustcrow","Fri Nov 08 00:20:57 GMT 2024","passed","Fri Nov 08 00:20:57 GMT 2024","","Retrieve Single Invoice","",""
"","149","Empty Password","Trustcrow","Fri Nov 08 00:20:54 GMT 2024","passed","Fri Nov 08 00:20:54 GMT 2024","","Register","",""
"","161","Empty Name","Trustcrow","Fri Nov 08 00:20:54 GMT 2024","passed","Fri Nov 08 00:20:55 GMT 2024","","Register","",""
"","603","Wrong Password","Trustcrow","Fri Nov 08 00:20:55 GMT 2024","failed","Fri Nov 08 00:20:56 GMT 2024","","Login","",""
